X,Y,Ügyirat,Bejelenté,Bejelent_1,GPS széle,GPS hossz�,GPS szé_1,GPS hoss_1,HRSZ,Hulladék,Terület k,Hulladé_1,Hulladé_2,Hulladé_3,Ellenőrz�,Ügyintéz,Intézked�,field_17,Ügyiratsz,Tájékozt,icon_url
16.6306410067464,47.2141170017872,VA/AKF-KTO/2212-1/2021.,2021/03/05,HR/20210305/0014,47.214117000000002,16.630641000000001,,,10843/2,SZOMBATHELY,SZOMBATHELY,Vegyes,kevesebb mint 1m3,Ömlesztve szabadon,2021/03/31,Haszonics Petra,Elszállítva,,VA/KTHF-HO/00052-1/2021,Visszaellenőrizve,./0.png
16.6178530067484,47.2283010017884,VA/AKF-KTO/2212-1/2021.,2021/03/06,HR/20210306/0011,47.228301000000002,16.617853000000000,,,"5891",SZOMBATHELY,SZOMBATHELY,Vegyes,1-5m3,Egyéb tárolóedényben,2021/03/31,Szűcs Zoltán,Hulladék szállítása megtörtént,,VA/KTHF-HO/00051-1/2021,,./0.png
16.9615030067115,47.4085830017507,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0007,47.408583000000000,16.961503000000000,,,"0136",VÁMOSCSALÁD,VÁMOSCSALÁD,Gumiabroncs,1-5m3,Ömlesztve szabadon,2021/04/09,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00066-1/2021,ELSZÁLLÍTVA,./0.png
16.7152200067359,47.2070220017785,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0070,47.207022000000002,16.715219999999999,,,0285/2,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/13,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00058-1/2021,Visszaellenőrzés:2021.05.27. ELSZÁLLÍTVA,./0.png
16.7151770067359,47.2070700017785,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0071,47.207070000000002,16.715177000000001,,,0285/2,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/13,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00058-1/2021,Visszaellenőrzés:2021.05.27. ELSZÁLLÍTVA,./0.png
16.7153560067359,47.2091900017785,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0074,47.209190000000000,16.715356000000000,,,0280/1,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Gumiabroncs,1-5m3,Ömlesztve szabadon,2021/04/13,Haszonics Petra,Elszállítva,,,Visszaellenőrizve,./0.png
16.7153710067359,47.2092560017784,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0076,47.209256000000003,16.715371000000001,,,0280/1,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/13,Haszonics Petra,Elszállítva,,,Visszaellenőrizve,./0.png
16.7156460067359,47.2102670017784,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0079,47.210267000000002,16.715646000000000,,,0285/2,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Gumiabroncs,1-5m3,Ömlesztve szabadon,2021/04/13,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00058-1/2021,Visszaellenőrzés:2021.05.27. ELSZÁLLÍTVA,./0.png
16.7156390067359,47.2103390017784,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0082,47.210338999999998,16.715638999999999,,,0285/2,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/13,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/58-1/2021,Visszaellenőrzés:2021.05.27. ELSZÁLLÍTVA,./0.png
16.7159940067359,47.2116010017784,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0085,47.211601000000002,16.715993999999998,,,0285/2,TÁPLÁNSZENTKERESZT,TÁPLÁNSZENTKERESZT,Roncsautó,1-5m3,Ömlesztve szabadon,2021/04/13,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00058-1/2021,Rendőrségi eljárás lezárásáról értesítést várunk,./0.png
16.2744110067818,46.9447900018274,VA/AKF-KTO/2212-1/2021.,2021/03/07,HR/20210307/0102,46.944789999999998,16.274411000000001,,,0136/74,SZENTGOTTHÁRD,SZENTGOTTHÁRD,Vegyes,kevesebb mint 1m3,Zsákban,2021/04/14,Haszonics Petra,"nem szükséges, hulladék elszállításra került",,VA/KTHF-HO/00049-1/2021,,./0.png
16.8833820067171,47.2688030017603,VA/AKF-KTO/2212-1/2021.,2021/03/13,HR/20210313/0015,47.268802999999998,16.883382000000001,,,"0120",SÁRVÁR,SÁRVÁR,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/09,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00055-1/2021,2021.06.21. ELSZÁLLÍTVA,./0.png
16.8057780067317,47.4400950017665,VA/AKF-KTO/2212-1/2021.,2021/03/15,HR/20210315/0028,47.440094999999999,16.805778000000000,,,0242/2,TORMÁSLIGET,TORMÁSLIGET,"Gumiabroncs, Vegyes",kevesebb mint 1m3,Ömlesztve szabadon,2021/04/09,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00057-1/2021,"Részben áttettük a győrieknek,a többi 2021.06.30-al ELSZÁLLÍTVA",./0.png
16.9365170067103,47.2602360017549,VA/AKF-KTO/2212-1/2021.,2021/03/15,HR/20210315/0084,47.260235999999999,16.936516999999998,,,"388",SÁRVÁR,SÁRVÁR,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/09,Novák Mónika,Felhívás nyilatkozattételre,,VA/KTHF-HO/00056-1/2021,Visszaellenőrzés:2021.06.03. ELSZÁLLÍTVA,./0.png
16.9916810066956,46.9915190017521,VA/AKF-KTO/2212-1/2021.,2021/03/18,HR/20210318/0003,46.991518999999997,16.991681000000000,,,070/7,BÉRBALTAVÁR,BÉRBALTAVÁR,Vegyes,1-5m3,Ömlesztve szabadon,2021/04/08,Tóth Andrea,póthagyaték kérelem,,,,./0.png
16.3350349567725,46.8723431918219,VA/KTHF-HO/37-1/2021.,2021/03/21,HR/20210321/0121,46.872343190000002,16.335034950000001,,,051/19,SZALAFŐ,SZALAFŐ,Építési-bontási,kevesebb mint 1m3,Ömlesztve szabadon,2021/04/20,Gecse József,Felhívás nyilatkozattételre,,VA/KTHF-HO/65-1/2021,Visszaellenőrzés:2021.06.18. KÖTELEZNI KELL,./0.png
16.3343539467726,46.872641341822,VA/KTHF-HO/37-1/2021.,2021/03/21,HR/20210321/0124,46.872641340000001,16.334353940000000,,,051/19,SZALAFŐ,SZALAFŐ,Építési-bontási,kevesebb mint 1m3,Ömlesztve szabadon,2021/04/20,Gecse József,Felhívás nyilatkozattételre,,VA/KTHF-HO/65-1/2021,Visszaellenőrzés:2021.06.18. KÖTELEZNI KELL,./0.png
